"Longitude" "Latitude"
"800" 25.917 41.417
"801" 26.083 41.417
"802" 24.25 41.583
"803" 24.417 41.583
"804" 24.583 41.583
"805" 24.75 41.583
"806" 24.917 41.583
"807" 25.083 41.583
"808" 25.25 41.583
"809" 25.417 41.583
"810" 25.583 41.583
"811" 25.75 41.583
"812" 25.917 41.583
"813" 26.083 41.583
"814" 24.083 41.75
"815" 24.25 41.75
"816" 24.417 41.75
"817" 24.583 41.75
"818" 24.75 41.75
"819" 24.917 41.75
"820" 25.083 41.75
"821" 25.25 41.75
"822" 25.417 41.75
"823" 25.583 41.75
"824" 25.75 41.75
"825" 25.917 41.75
"826" 26.083 41.75
"827" 26.25 41.75
"828" 26.583 41.75
"829" 23.917 41.917
"830" 24.083 41.917
"831" 24.25 41.917
"832" 24.417 41.917
"833" 24.583 41.917
"834" 24.75 41.917
"835" 24.917 41.917
"836" 25.083 41.917
"837" 25.25 41.917
"838" 25.417 41.917
"839" 25.583 41.917
"840" 25.75 41.917
"841" 25.917 41.917
"842" 26.083 41.917
"843" 26.25 41.917
"844" 26.417 41.917
"845" 26.583 41.917
"846" 23.917 42.083
"847" 24.083 42.083
"848" 24.25 42.083
"849" 24.417 42.083
"850" 24.583 42.083
"851" 24.75 42.083
"852" 24.917 42.083
"853" 25.083 42.083
"854" 25.25 42.083
"855" 25.417 42.083
"856" 25.583 42.083
"857" 25.75 42.083
"858" 25.917 42.083
"859" 26.083 42.083
"860" 26.25 42.083
"861" 26.417 42.083
"862" 23.917 42.25
"863" 24.083 42.25
"864" 24.25 42.25
"865" 24.417 42.25
"866" 24.583 42.25
"867" 24.75 42.25
"868" 24.917 42.25
"869" 25.083 42.25
"870" 25.25 42.25
"871" 25.417 42.25
"872" 25.583 42.25
"873" 25.75 42.25
"874" 25.917 42.25
"875" 26.083 42.25
"876" 24.083 42.417
"877" 24.25 42.417
"878" 24.417 42.417
"879" 24.583 42.417
"880" 24.75 42.417
"881" 24.917 42.417
"882" 25.083 42.417
"883" 25.25 42.417
"884" 25.417 42.417
"885" 25.583 42.417
"886" 25.75 42.417
"887" 24.25 42.583
"888" 24.417 42.583
"889" 24.583 42.583
"890" 24.75 42.583
"891" 24.917 42.583
"892" 25.083 42.583
"893" 25.25 42.583
"894" 25.417 42.583
"895" 25.583 42.583
"896" 25.75 42.583
"897" 24.417 42.75
"898" 24.583 42.75
"899" 25.083 42.75
"900" 25.25 42.75
"901" 25.417 42.75
"902" 25.583 42.75
"903" 25.75 42.75
"904" 26.75 41.917
"905" 26.917 41.917
"906" 27.417 41.917
"907" 27.583 41.917
"908" 27.75 41.917
"909" 27.917 41.917
"910" 26.583 42.083
"911" 26.75 42.083
"912" 26.917 42.083
"913" 27.083 42.083
"914" 27.25 42.083
"915" 27.417 42.083
"916" 27.583 42.083
"917" 27.75 42.083
"918" 27.917 42.083
"919" 26.25 42.25
"920" 26.417 42.25
"921" 26.583 42.25
"922" 26.75 42.25
"923" 26.917 42.25
"924" 27.083 42.25
"925" 27.25 42.25
"926" 27.417 42.25
"927" 27.583 42.25
"928" 27.75 42.25
"929" 25.917 42.417
"930" 26.083 42.417
"931" 26.25 42.417
"932" 26.417 42.417
"933" 26.583 42.417
"934" 26.75 42.417
"935" 26.917 42.417
"936" 27.083 42.417
"937" 27.25 42.417
"938" 27.417 42.417
"939" 27.583 42.417
"940" 25.917 42.583
"941" 26.083 42.583
"942" 26.25 42.583
"943" 26.417 42.583
"944" 26.583 42.583
"945" 26.75 42.583
"946" 26.917 42.583
"947" 27.083 42.583
"948" 27.25 42.583
"949" 27.417 42.583
"950" 27.583 42.583
"951" 25.917 42.75
"952" 26.083 42.75
"953" 26.25 42.75
"954" 26.417 42.75
"955" 26.583 42.75
"956" 26.75 42.75
"957" 26.917 42.75
"958" 27.083 42.75
"959" 27.25 42.75
"960" 27.417 42.75
"961" 27.583 42.75
"962" 27.75 42.75
"963" 27.917 42.75
"964" 26.25 42.917
"965" 26.417 42.917
"966" 26.583 42.917
"967" 26.75 42.917
"968" 26.917 42.917
"969" 27.083 42.917
"970" 27.25 42.917
"971" 27.417 42.917
"972" 7.083 45.917
"973" 7.25 45.917
"974" 6.917 46.083
"975" 7.083 46.083
"976" 7.25 46.083
"977" 7.417 46.083
"978" 7.583 46.083
"979" 7.75 46.083
"980" 7.917 46.083
"981" 6.083 46.25
"982" 6.917 46.25
"983" 7.083 46.25
"984" 7.25 46.25
"985" 7.417 46.25
"986" 7.583 46.25
"987" 7.75 46.25
"988" 7.917 46.25
"989" 8.083 46.25
"990" 6.25 46.417
"991" 6.917 46.417
"992" 7.083 46.417
"993" 7.75 46.417
"994" 7.917 46.417
"995" 8.083 46.417
"996" 8.25 46.417
"997" 6.25 46.583
"998" 6.417 46.583
"999" 6.583 46.583
"1000" 6.75 46.583
"1001" 8.417 46.583
"1002" 6.417 46.75
"1003" 6.583 46.75
"1004" 6.75 46.75
"1005" 7.25 46.417
"1006" 7.417 46.417
"1007" 7.583 46.417
"1008" 6.917 46.583
"1009" 7.083 46.583
"1010" 7.25 46.583
"1011" 7.417 46.583
"1012" 7.583 46.583
"1013" 7.75 46.583
"1014" 7.917 46.583
"1015" 8.083 46.583
"1016" 8.25 46.583
"1017" 6.917 46.75
"1018" 7.083 46.75
"1019" 7.25 46.75
"1020" 7.417 46.75
"1021" 7.583 46.75
"1022" 7.75 46.75
"1023" 7.917 46.75
